FrameTime (s),SystemTime (UTC),GpsTimeOfWeek (s),PositionX (m),PositionY (m),PositionZ (m)
1.601,2022-08-08 18:03:43,NaN,NaN,NaN,NaN
2.335,2022-08-08 18:03:44,151426.071,-1520430.24,-5083341.89,3530357.47
3.296,2022-08-08 18:03:45,151427,-1520426.28,-5083360.74,3530332.43
4.336,2022-08-08 18:03:46,151428,-1520422.31,-5083336.74,3530340.09
5.326,2022-08-08 18:03:47,151429,-1520429.82,-5083329.37,3530346.19
6.34,2022-08-08 18:03:48,151430,-1520431,-5083332.92,3530349.83
7.322,2022-08-08 18:03:49,151431,-1520432.13,-5083337.07,3530352.61
8.338,2022-08-08 18:03:50,151432,-1520432.77,-5083337.68,3530353.82
9.3,2022-08-08 18:03:51,151433,-1520433.04,-5083338.68,3530354.6
10.337,2022-08-08 18:03:52,151434,-1520433.37,-5083339.78,3530355.46
11.324,2022-08-08 18:03:53,151435,-1520433.51,-5083340.73,3530355.97
12.336,2022-08-08 18:03:54,151436,-1520433.38,-5083341.35,3530356.06
13.323,2022-08-08 18:03:55,151437,-1520433.35,-5083341.81,3530356.22
14.301,2022-08-08 18:03:56,151438,-1520433.12,-5083342.26,3530356.27
15.315,2022-08-08 18:03:57,151439,-1520432.97,-5083342.33,3530356.26
16.308,2022-08-08 18:03:58,151440,-1520432.85,-5083342.23,3530356.22
17.292,2022-08-08 18:03:59,151441,-1520432.78,-5083342.17,3530356.19
18.311,2022-08-08 18:04:00,151442,-1520432.71,-5083342.48,3530356.27
19.318,2022-08-08 18:04:01,151443,-1520432.51,-5083342.63,3530356.19
20.312,2022-08-08 18:04:02,151444,-1520432.17,-5083342.48,3530355.93
21.322,2022-08-08 18:04:03,151445,-1520431.94,-5083342.68,3530355.82
22.331,2022-08-08 18:04:04,151446,-1520431.74,-5083342.99,3530355.75
23.321,2022-08-08 18:04:05,151447,-1520431.59,-5083343.26,3530355.73
24.311,2022-08-08 18:04:06,151448,-1520431.38,-5083343.42,3530355.63
25.322,2022-08-08 18:04:07,151449,-1520431.2,-5083343.65,3530355.58
26.32,2022-08-08 18:04:08,151450,-1520431.04,-5083343.73,3530355.51
27.293,2022-08-08 18:04:09,151451,-1520430.97,-5083343.85,3530355.53
28.322,2022-08-08 18:04:10,151452,-1520430.88,-5083344.06,3530355.55
29.337,2022-08-08 18:04:11,151453,-1520430.81,-5083344.22,3530355.61
30.318,2022-08-08 18:04:12,151454,-1520430.79,-5083344.3,3530355.7
31.298,2022-08-08 18:04:13,151455,-1520430.7,-5083344.55,3530355.76
32.295,2022-08-08 18:04:14,151456,-1520430.59,-5083344.71,3530355.8
33.293,2022-08-08 18:04:15,151457,-1520430.51,-5083344.85,3530355.86
34.335,2022-08-08 18:04:16,151458.001,-1520430.42,-5083344.98,3530355.92
35.332,2022-08-08 18:04:17,151459,-1520430.34,-5083344.99,3530355.91
36.32,2022-08-08 18:04:18,151460,-1520430.2,-5083345.23,3530355.91
37.301,2022-08-08 18:04:19,151461,-1520430.12,-5083345.26,3530355.92
38.289,2022-08-08 18:04:20,151462,-1520430.06,-5083345.32,3530355.94
39.324,2022-08-08 18:04:21,151463,-1520429.99,-5083345.26,3530355.92
40.317,2022-08-08 18:04:22,151464,-1520429.93,-5083345.15,3530355.9
41.297,2022-08-08 18:04:23,151465,-1520429.88,-5083345.15,3530355.96
42.298,2022-08-08 18:04:24,151466,-1520429.86,-5083345.11,3530356.02
43.324,2022-08-08 18:04:25,151467,-1520429.79,-5083345.11,3530355.95
44.322,2022-08-08 18:04:26,151468,-1520429.77,-5083345.1,3530355.95
45.318,2022-08-08 18:04:27,151469,-1520429.77,-5083345.06,3530355.97
46.292,2022-08-08 18:04:28,151470,-1520429.78,-5083345.05,3530355.99
47.358,2022-08-08 18:04:29,151471,-1520429.8,-5083345.05,3530356.03
48.32,2022-08-08 18:04:30,151472,-1520429.79,-5083345.09,3530356.05
49.336,2022-08-08 18:04:31,151473,-1520429.81,-5083345.1,3530356.08
50.317,2022-08-08 18:04:32,151474,-1520429.84,-5083345.1,3530356.11
51.323,2022-08-08 18:04:33,151475,-1520429.85,-5083345.15,3530356.12
52.34,2022-08-08 18:04:34,151476,-1520429.91,-5083345.15,3530356.18
53.291,2022-08-08 18:04:35,151477,-1520429.97,-5083345.19,3530356.25
54.295,2022-08-08 18:04:36,151478,-1520429.99,-5083345.25,3530356.27
55.296,2022-08-08 18:04:37,151479,-1520430.02,-5083345.27,3530356.27
56.32,2022-08-08 18:04:38,151480,-1520430.06,-5083345.21,3530356.27
57.297,2022-08-08 18:04:39,151481,-1520430.16,-5083345.1,3530356.32
58.338,2022-08-08 18:04:40,151482,-1520430.23,-5083345.03,3530356.35
59.322,2022-08-08 18:04:41,151483,-1520430.31,-5083344.99,3530356.41
60.325,2022-08-08 18:04:42,151484,-1520430.43,-5083344.92,3530356.5
61.323,2022-08-08 18:04:43,151485,-1520430.51,-5083344.89,3530356.54
62.331,2022-08-08 18:04:44,151486,-1520430.59,-5083344.87,3530356.6
63.322,2022-08-08 18:04:45,151487,-1520430.68,-5083344.82,3530356.66
64.337,2022-08-08 18:04:46,151488,-1520430.77,-5083344.76,3530356.75
65.3,2022-08-08 18:04:47,151489,-1520430.84,-5083344.76,3530356.84
66.299,2022-08-08 18:04:48,151490,-1520430.94,-5083344.67,3530356.89
67.32,2022-08-08 18:04:49,151491,-1520431.01,-5083344.61,3530356.9
68.323,2022-08-08 18:04:50,151492,-1520431.07,-5083344.61,3530356.93
69.321,2022-08-08 18:04:51,151493,-1520431.12,-5083344.65,3530356.92
70.324,2022-08-08 18:04:52,151494,-1520431.18,-5083344.64,3530356.94
71.299,2022-08-08 18:04:53,151495,-1520431.21,-5083344.64,3530356.93
72.336,2022-08-08 18:04:54,151496,-1520431.26,-5083344.65,3530356.96
73.318,2022-08-08 18:04:55,151497,-1520431.27,-5083344.74,3530356.97
74.322,2022-08-08 18:04:56,151498,-1520431.27,-5083344.87,3530357
75.317,2022-08-08 18:04:57,151499,-1520431.21,-5083345,3530356.96
76.294,2022-08-08 18:04:58,151500,-1520431.15,-5083345.14,3530356.96
77.301,2022-08-08 18:04:59,151501,-1520431.16,-5083345.2,3530357
78.297,2022-08-08 18:05:00,151502,-1520431.13,-5083345.3,3530357.02
79.314,2022-08-08 18:05:01,151503,-1520431.05,-5083345.44,3530357
80.322,2022-08-08 18:05:02,151504,-1520431.05,-5083345.48,3530357.02
81.3,2022-08-08 18:05:03,151505,-1520431.1,-5083345.46,3530357.08
82.316,2022-08-08 18:05:04,151506,-1520431.14,-5083345.43,3530357.09
83.322,2022-08-08 18:05:05,151507,-1520431.15,-5083345.44,3530357.06
84.296,2022-08-08 18:05:06,151508,-1520431.14,-5083345.46,3530357.03
85.3,2022-08-08 18:05:07,151509,-1520431.03,-5083345.69,3530356.99
86.323,2022-08-08 18:05:08,151510,-1520430.96,-5083345.83,3530356.94
87.294,2022-08-08 18:05:09,151511,-1520430.88,-5083345.96,3530356.86
88.302,2022-08-08 18:05:10,151512,-1520430.83,-5083346.1,3530356.82
89.324,2022-08-08 18:05:11,151513,-1520430.8,-5083346.28,3530356.82
90.323,2022-08-08 18:05:12,151514,-1520430.76,-5083346.44,3530356.8
91.319,2022-08-08 18:05:13,151515,-1520430.73,-5083346.58,3530356.79
92.32,2022-08-08 18:05:14,151516,-1520430.72,-5083346.68,3530356.77
93.301,2022-08-08 18:05:15,151517,-1520430.75,-5083346.81,3530356.8
94.312,2022-08-08 18:05:16,151518,-1520430.78,-5083346.85,3530356.81
95.336,2022-08-08 18:05:17,151519,-1520430.79,-5083346.91,3530356.8
96.325,2022-08-08 18:05:18,151520,-1520430.85,-5083346.95,3530356.81
97.319,2022-08-08 18:05:19,151521,-1520430.91,-5083346.94,3530356.79
98.294,2022-08-08 18:05:20,151522,-1520430.99,-5083346.94,3530356.78
99.299,2022-08-08 18:05:21,151523,-1520431.13,-5083346.9,3530356.82
100.295,2022-08-08 18:05:22,151524,-1520431.32,-5083346.82,3530356.87
101.295,2022-08-08 18:05:23,151525,-1520431.45,-5083346.74,3530356.86
102.319,2022-08-08 18:05:24,151526,-1520431.53,-5083346.68,3530356.84
103.323,2022-08-08 18:05:25,151527,-1520431.57,-5083346.7,3530356.83
104.319,2022-08-08 18:05:26,151528,-1520431.63,-5083346.71,3530356.81
105.319,2022-08-08 18:05:27,151529,-1520431.67,-5083346.79,3530356.84
106.289,2022-08-08 18:05:28,151530,-1520431.73,-5083346.79,3530356.85
107.318,2022-08-08 18:05:29,151531,-1520431.84,-5083346.74,3530356.87
108.317,2022-08-08 18:05:30,151532,-1520431.93,-5083346.79,3530356.92
109.306,2022-08-08 18:05:31,151533,-1520432.04,-5083346.79,3530356.98
110.309,2022-08-08 18:05:32,151534,-1520432.11,-5083346.86,3530357.02
111.297,2022-08-08 18:05:33,151535,-1520432.15,-5083346.89,3530357.05
112.322,2022-08-08 18:05:34,151536,-1520432.21,-5083346.93,3530357.1
113.322,2022-08-08 18:05:35,151537,-1520432.28,-5083346.93,3530357.12
114.319,2022-08-08 18:05:36,151538,-1520432.41,-5083346.92,3530357.19
115.294,2022-08-08 18:05:37,151539,-1520432.52,-5083346.94,3530357.23
116.299,2022-08-08 18:05:38,151540,-1520432.67,-5083346.97,3530357.35
117.296,2022-08-08 18:05:39,151541,-1520432.83,-5083346.96,3530357.47
118.308,2022-08-08 18:05:40,151542,-1520432.97,-5083346.94,3530357.56
119.319,2022-08-08 18:05:41,151543,-1520433.09,-5083346.91,3530357.63
120.301,2022-08-08 18:05:42,151544,-1520433.22,-5083346.89,3530357.74
121.314,2022-08-08 18:05:43,151545,-1520433.29,-5083346.92,3530357.82
122.304,2022-08-08 18:05:44,151546,-1520433.41,-5083346.79,3530357.88
123.305,2022-08-08 18:05:45,151547,-1520433.48,-5083346.71,3530357.94
124.311,2022-08-08 18:05:46,151548,-1520433.52,-5083346.68,3530357.97
125.308,2022-08-08 18:05:47,151549,-1520433.51,-5083346.68,3530357.97
126.315,2022-08-08 18:05:48,151550,-1520433.47,-5083346.6,3530357.9
127.29,2022-08-08 18:05:49,151551,-1520433.51,-5083346.6,3530357.93
128.307,2022-08-08 18:05:50,151552,-1520433.54,-5083346.62,3530357.97
129.311,2022-08-08 18:05:51,151553,-1520433.54,-5083346.67,3530357.99
130.316,2022-08-08 18:05:52,151554,-1520433.6,-5083346.76,3530358.05
131.295,2022-08-08 18:05:53,151555,-1520433.65,-5083346.86,3530358.12
132.31,2022-08-08 18:05:54,151556,-1520433.67,-5083346.94,3530358.18
133.291,2022-08-08 18:05:55,151557,-1520433.72,-5083346.95,3530358.24
134.304,2022-08-08 18:05:56,151558,-1520433.81,-5083346.91,3530358.27
135.303,2022-08-08 18:05:57,151559,-1520433.85,-5083346.92,3530358.29
136.313,2022-08-08 18:05:58,151560,-1520433.86,-5083346.94,3530358.3
137.294,2022-08-08 18:05:59,151561,-1520433.84,-5083346.99,3530358.3
138.306,2022-08-08 18:06:00,151562,-1520433.83,-5083347,3530358.3
139.299,2022-08-08 18:06:01,151563,-1520433.81,-5083347.01,3530358.29
140.303,2022-08-08 18:06:02,151564,-1520433.81,-5083347.03,3530358.31
141.302,2022-08-08 18:06:03,151565,-1520433.81,-5083347.05,3530358.32
142.29,2022-08-08 18:06:04,151566,-1520433.85,-5083347.03,3530358.32
143.306,2022-08-08 18:06:05,151567,-1520433.87,-5083346.97,3530358.3
144.305,2022-08-08 18:06:06,151568,-1520433.9,-5083346.88,3530358.25
145.325,2022-08-08 18:06:07,151569,-1520433.89,-5083346.81,3530358.14
146.312,2022-08-08 18:06:08,151570.001,-1520433.95,-5083346.73,3530358.1
147.323,2022-08-08 18:06:09,151571,-1520434.02,-5083346.63,3530358.03
148.295,2022-08-08 18:06:10,151572,-1520434.08,-5083346.56,3530357.99
149.312,2022-08-08 18:06:11,151573,-1520434.19,-5083346.47,3530357.98
150.3,2022-08-08 18:06:12,151574,-1520434.29,-5083346.44,3530357.98
151.306,2022-08-08 18:06:13,151575,-1520434.38,-5083346.45,3530357.98
152.299,2022-08-08 18:06:14,151576,-1520434.46,-5083346.47,3530357.99
153.303,2022-08-08 18:06:15,151577,-1520434.5,-5083346.54,3530357.99
154.298,2022-08-08 18:06:16,151578,-1520434.47,-5083346.59,3530357.91
155.296,2022-08-08 18:06:17,151579,-1520434.42,-5083346.71,3530357.83
156.293,2022-08-08 18:06:18,151580,-1520434.42,-5083346.78,3530357.78
157.317,2022-08-08 18:06:19,151581,-1520434.43,-5083346.85,3530357.74
158.29,2022-08-08 18:06:20,151582,-1520434.42,-5083346.94,3530357.72
159.325,2022-08-08 18:06:21,151583,-1520434.38,-5083347.03,3530357.68
160.307,2022-08-08 18:06:22,151584,-1520434.37,-5083347.12,3530357.66
