FrameTime (s),SystemTime (UTC),GpsTimeOfWeek (s),Latitude (deg),Longitude (deg),HaeAlt (m),MslAlt (m)
1.601,2022-08-08 18:03:43,NaN,NaN,NaN,NaN,NaN
2.335,2022-08-08 18:03:44,151426.071,33.8162973,-106.6519518,1476.969,1501.834
3.296,2022-08-08 18:03:45,151427,33.8160248,-106.6518525,1477.092,1501.958
4.336,2022-08-08 18:03:46,151428,33.8162033,-106.6518858,1461.307,1486.173
5.326,2022-08-08 18:03:47,151429,33.8162736,-106.6519862,1460.629,1485.495
6.34,2022-08-08 18:03:48,151430,33.816282,-106.6519875,1465.761,1490.627
7.322,2022-08-08 18:03:49,151431,33.8162813,-106.6519862,1470.878,1495.743
8.338,2022-08-08 18:03:50,151432,33.8162865,-106.651991,1472.189,1497.055
9.3,2022-08-08 18:03:51,151433,33.8162872,-106.6519907,1473.478,1498.344
10.337,2022-08-08 18:03:52,151434,33.8162878,-106.6519908,1474.911,1499.777
11.324,2022-08-08 18:03:53,151435,33.8162869,-106.6519893,1475.988,1500.853
12.336,2022-08-08 18:03:54,151436,33.8162848,-106.651986,1476.496,1501.362
13.323,2022-08-08 18:03:55,151437,33.8162838,-106.6519842,1476.95,1501.816
14.301,2022-08-08 18:03:56,151438,33.8162824,-106.6519805,1477.277,1502.143
15.315,2022-08-08 18:03:57,151439,33.8162822,-106.6519787,1477.296,1502.161
16.308,2022-08-08 18:03:58,151440,33.8162825,-106.6519778,1477.168,1502.034
17.292,2022-08-08 18:03:59,151441,33.8162826,-106.6519772,1477.086,1501.951
18.311,2022-08-08 18:04:00,151442,33.8162818,-106.6519756,1477.355,1502.22
19.318,2022-08-08 18:04:01,151443,33.8162809,-106.6519731,1477.388,1502.254
20.312,2022-08-08 18:04:02,151444,33.8162802,-106.65197,1477.039,1501.905
21.322,2022-08-08 18:04:03,151445,33.8162786,-106.6519669,1477.085,1501.951
22.331,2022-08-08 18:04:04,151446,33.8162769,-106.6519639,1477.246,1502.112
23.321,2022-08-08 18:04:05,151447,33.8162757,-106.6519615,1477.406,1502.272
24.311,2022-08-08 18:04:06,151448,33.8162745,-106.6519589,1477.434,1502.3
25.322,2022-08-08 18:04:07,151449,33.8162732,-106.6519563,1477.546,1502.412
26.32,2022-08-08 18:04:08,151450,33.8162726,-106.6519544,1477.527,1502.393
27.293,2022-08-08 18:04:09,151451,33.8162723,-106.6519533,1477.622,1502.487
28.322,2022-08-08 18:04:10,151452,33.8162716,-106.6519517,1477.777,1502.643
29.337,2022-08-08 18:04:11,151453,33.8162713,-106.6519505,1477.92,1502.785
30.318,2022-08-08 18:04:12,151454,33.8162716,-106.65195,1478.034,1502.899
31.298,2022-08-08 18:04:13,151455,33.816271,-106.6519483,1478.241,1503.106
32.295,2022-08-08 18:04:14,151456,33.8162707,-106.6519467,1478.369,1503.235
33.293,2022-08-08 18:04:15,151457,33.8162706,-106.6519454,1478.49,1503.356
34.335,2022-08-08 18:04:16,151458.001,33.8162705,-106.6519442,1478.604,1503.47
35.332,2022-08-08 18:04:17,151459,33.8162706,-106.6519433,1478.594,1503.46
36.32,2022-08-08 18:04:18,151460,33.8162696,-106.6519411,1478.753,1503.618
37.301,2022-08-08 18:04:19,151461,33.8162696,-106.6519402,1478.759,1503.625
38.289,2022-08-08 18:04:20,151462,33.8162696,-106.6519393,1478.807,1503.673
39.324,2022-08-08 18:04:21,151463,33.8162698,-106.6519388,1478.733,1503.599
40.317,2022-08-08 18:04:22,151464,33.8162703,-106.6519385,1478.612,1503.478
41.297,2022-08-08 18:04:23,151465,33.8162707,-106.651938,1478.639,1503.505
42.298,2022-08-08 18:04:24,151466,33.8162714,-106.651938,1478.634,1503.5
43.324,2022-08-08 18:04:25,151467,33.816271,-106.6519372,1478.576,1503.442
44.322,2022-08-08 18:04:26,151468,33.8162711,-106.651937,1478.568,1503.433
45.318,2022-08-08 18:04:27,151469,33.8162715,-106.6519371,1478.548,1503.414
46.292,2022-08-08 18:04:28,151470,33.8162716,-106.6519373,1478.552,1503.418
47.358,2022-08-08 18:04:29,151471,33.8162719,-106.6519375,1478.585,1503.45
48.32,2022-08-08 18:04:30,151472,33.8162719,-106.6519373,1478.616,1503.481
49.336,2022-08-08 18:04:31,151473,33.8162721,-106.6519375,1478.647,1503.513
50.317,2022-08-08 18:04:32,151474,33.8162722,-106.6519377,1478.669,1503.534
51.323,2022-08-08 18:04:33,151475,33.816272,-106.6519377,1478.714,1503.579
52.34,2022-08-08 18:04:34,151476,33.8162724,-106.6519383,1478.77,1503.636
53.291,2022-08-08 18:04:35,151477,33.8162726,-106.6519388,1478.852,1503.718
54.295,2022-08-08 18:04:36,151478,33.8162724,-106.6519389,1478.915,1503.78
55.296,2022-08-08 18:04:37,151479,33.8162723,-106.6519391,1478.938,1503.804
